Main Group,Food Category,year,value
Bread,Brown and wholemeal bread,2018,136
Flour,Flour,2018,75
"Cakes, buns and pastries","Cakes, buns and pastries",2018,159
Biscuits,Biscuits and crispbreads,2018,160
Other cereals and cereal products,Other cereals and cereal products,2018,582
Tea and Coffee,Beverages,2018,49
Other food and drink,Other food and drink,2018,884
Soft drinks,Soft drinks,2018,1508
Confectionery,Confectionery,2018,137
Alcoholic drinks,Alcoholic drinks,2018,728
Milk products exc. cheese,Milk and milk products excluding cheese,2019,1840
Cheese,Cheese,2019,123
Meat,Carcase meat,2019,168
Meat,Non-carcase meat and meat products,2019,794
Fish,Fish,2019,146
Eggs,Eggs,2019,2
Fats,Fats,2019,161
Sugar and preserves,Sugar and preserves,2019,93
Potatoes,Fresh and processed potatoes,2019,620
Potatoes,Processed potatoes,2019,241
Vegetables exc. Potatoes,"Fresh and processed vegetables, excluding potatoes",2019,1139
Fruit,Fresh fruit,2019,787
Fruit,Processed fruit and fruit products,2019,319
Bread,White bread,2019,198
Bread,Brown and wholemeal bread,2019,137
Flour,Flour,2019,48
"Cakes, buns and pastries","Cakes, buns and pastries",2019,151
Biscuits,Biscuits and crispbreads,2019,159
Other cereals and cereal products,Other cereals and cereal products,2019,589
Tea and Coffee,Beverages,2019,52
Other food and drink,Other food and drink,2019,1000
Soft drinks,Soft drinks,2019,1642
Confectionery,Confectionery,2019,136
Alcoholic drinks,Alcoholic drinks,2019,712
Milk products exc. cheese,Milk and milk products excluding cheese,2020,1746
Cheese,Cheese,2020,129
Meat,Carcase meat,2020,170
Meat,Non-carcase meat and meat products,2020,779
Fish,Fish,2020,148
Eggs,Eggs,2020,2
Fats,Fats,2020,158
Sugar and preserves,Sugar and preserves,2020,87
Potatoes,Fresh and processed potatoes,2020,612
Potatoes,Processed potatoes,2020,256
Vegetables exc. Potatoes,"Fresh and processed vegetables, excluding potatoes",2020,1147
Fruit,Fresh fruit,2020,767
Fruit,Processed fruit and fruit products,2020,312
Bread,White bread,2020,194
Bread,Brown and wholemeal bread,2020,133
Flour,Flour,2020,54
"Cakes, buns and pastries","Cakes, buns and pastries",2020,163
Biscuits,Biscuits and crispbreads,2020,173
Other cereals and cereal products,Other cereals and cereal products,2020,607
Tea and Coffee,Beverages,2020,56
Other food and drink,Other food and drink,2020,934
Soft drinks,Soft drinks,2020,1658
Confectionery,Confectionery,2020,144
Alcoholic drinks,Alcoholic drinks,2020,728
